,map_trx_state,map__trx_dist,map_trx_years,map_trx_qtr,map_trx_amount,map_trx_count
83,arunachal pradesh,kurung kumey ,2021,2,27396796.623303153,6623
84,arunachal pradesh,anjaw ,2021,2,43475744.23676274,15311
85,arunachal pradesh,ang ,2021,2,52687221.42695154,17032
86,arunachal pradesh,lower siang ,2021,2,45499278.56988002,17401
87,arunachal pradesh,kra daadi ,2021,2,35998227.60012327,8758
88,arunachal pradesh,hanglang ,2021,2,264031910.34894213,105461
89,arunachal pradesh,pakke kessang ,2021,2,13097426.072373278,4424
90,arunachal pradesh,bang valley ,2021,2,9465919.622553768,1995
91,arunachal pradesh,west kameng ,2021,2,482626617.86575466,164866
92,arunachal pradesh,hi yomi ,2021,2,12166777.18507706,2135
93,arunachal pradesh,east siang ,2021,2,286839106.4541313,106787
94,arunachal pradesh,upper subansiri ,2021,2,131912938.7628825,35856
95,arunachal pradesh,east kameng ,2021,2,95352007.56231916,22015
96,arunachal pradesh,lohit ,2021,2,230495504.2475701,99686
97,arunachal pradesh,lepa rada ,2021,2,71336743.85611859,21273
98,arunachal pradesh,awang ,2021,2,251025037.95363936,70061
99,arunachal pradesh,namsai ,2021,2,147069902.3522784,64781
100,arunachal pradesh,lower dibang valley ,2019,4,21103089.24170351,10376
101,arunachal pradesh,lower subansiri ,2019,4,29634357.486805215,11806
102,arunachal pradesh,longding ,2019,4,29245021.393976457,11018
103,arunachal pradesh,west siang ,2019,4,39460255.46641725,14581
104,arunachal pradesh,kamle ,2019,4,1620922.3277442688,999
105,arunachal pradesh,upper siang ,2019,4,12739585.638734035,4165
106,arunachal pradesh,ap ,2019,4,38467790.7269052,16459
107,arunachal pradesh,papum pare ,2019,4,378838002.3434037,143272
108,arunachal pradesh,kurung kumey ,2019,4,4526789.748638094,1343
109,arunachal pradesh,anjaw ,2019,4,11887950.534618177,5417
110,arunachal pradesh,ang ,2019,4,8833695.424992222,4756
111,arunachal pradesh,lower siang ,2019,4,11985865.259161524,6628
112,arunachal pradesh,kra daadi ,2019,4,7804936.327522229,2830
113,arunachal pradesh,hanglang ,2019,4,71874990.9639822,33963
114,arunachal pradesh,pakke kessang ,2019,4,2287739.0120923957,1194
115,arunachal pradesh,bang valley ,2019,4,1240493.0270471391,267
116,arunachal pradesh,west kameng ,2019,4,198205637.50055438,66740
117,arunachal pradesh,hi yomi ,2019,4,170772.72677991798,232
118,arunachal pradesh,east siang ,2019,4,72075285.44344108,26605
119,arunachal pradesh,upper subansiri ,2019,4,28319761.873849634,9285
120,arunachal pradesh,east kameng ,2019,4,19408662.74847077,5646
121,arunachal pradesh,lohit ,2019,4,67502324.59236205,29281
122,arunachal pradesh,lepa rada ,2019,4,8888753.875914622,4245
123,arunachal pradesh,awang ,2019,4,91949243.6071119,30077
124,arunachal pradesh,namsai ,2019,4,32501252.235055383,18290
125,arunachal pradesh,lower dibang valley ,2019,1,13738776.18143886,6314
126,arunachal pradesh,lower subansiri ,2019,1,12615032.122891838,4994
127,arunachal pradesh,longding ,2019,1,25349462.055245366,7287
128,arunachal pradesh,west siang ,2019,1,19426751.301233895,5921
129,arunachal pradesh,kamle ,2019,1,725807.1059240355,391
130,arunachal pradesh,upper siang ,2019,1,2756678.3077581595,1154
131,arunachal pradesh,ap ,2019,1,14075747.836402504,6877
132,arunachal pradesh,papum pare ,2019,1,188556716.3567257,70941
133,arunachal pradesh,kurung kumey ,2019,1,2076644.1215012982,740
134,arunachal pradesh,anjaw ,2019,1,4643030.795590812,2116
135,arunachal pradesh,ang ,2019,1,2552682.037255951,1282
136,arunachal pradesh,lower siang ,2019,1,6923301.927893572,3565
137,arunachal pradesh,kra daadi ,2019,1,3797175.4842446605,1070
138,arunachal pradesh,hanglang ,2019,1,40239141.669717625,17589
139,arunachal pradesh,pakke kessang ,2019,1,1682922.8373646357,545
140,arunachal pradesh,bang valley ,2019,1,301591.38639926765,102
141,arunachal pradesh,west kameng ,2019,1,101333633.67604163,34289
142,arunachal pradesh,hi yomi ,2019,1,212989.63045272,19
143,arunachal pradesh,east siang ,2019,1,39284373.05409969,15621
144,arunachal pradesh,upper subansiri ,2019,1,14105451.853243299,3880
145,arunachal pradesh,east kameng ,2019,1,9107597.731491327,2688
146,arunachal pradesh,lohit ,2019,1,42834776.778045304,15896
147,arunachal pradesh,lepa rada ,2019,1,4054526.308789035,1523
148,arunachal pradesh,awang ,2019,1,39489779.13784294,13102
149,arunachal pradesh,namsai ,2019,1,20065516.616355177,8600
150,arunachal pradesh,lower dibang valley ,2019,3,15177864.63915902,8405
151,arunachal pradesh,lower subansiri ,2019,3,21059967.49943525,8828
152,arunachal pradesh,longding ,2019,3,26620415.01923828,10269
153,arunachal pradesh,west siang ,2019,3,30014806.816802975,11889
154,arunachal pradesh,kamle ,2019,3,968784.5134103607,677
155,arunachal pradesh,upper siang ,2019,3,3927440.4417752204,1419
156,arunachal pradesh,ap ,2019,3,21737827.19336869,11249
157,arunachal pradesh,papum pare ,2019,3,301518075.7016427,117940
158,arunachal pradesh,kurung kumey ,2019,3,3674797.099413435,1579
159,arunachal pradesh,anjaw ,2019,3,9665384.074972186,4230
160,arunachal pradesh,ang ,2019,3,6888800.898705382,2640
161,arunachal pradesh,lower siang ,2019,3,9507511.569068512,5348
162,arunachal pradesh,kra daadi ,2019,3,5520848.186492377,2187
163,arunachal pradesh,hanglang ,2019,3,58354823.443366826,29218
164,arunachal pradesh,pakke kessang ,2019,3,2145842.2925678995,977
165,arunachal pradesh,bang valley ,2019,3,675909.9962923382,202
166,arunachal pradesh,west kameng ,2019,3,147186019.8759076,53939
167,arunachal pradesh,hi yomi ,2019,3,30367.754712275342,27
168,arunachal pradesh,east siang ,2019,3,58040119.9573143,22611
169,arunachal pradesh,upper subansiri ,2019,3,22099628.49449406,7803
170,arunachal pradesh,east kameng ,2019,3,10631335.871797245,3814
171,arunachal pradesh,lohit ,2019,3,54539458.21434432,24505
172,arunachal pradesh,lepa rada ,2019,3,4930337.942058578,2928
173,arunachal pradesh,awang ,2019,3,72221026.28393415,24097
174,arunachal pradesh,namsai ,2019,3,25507641.015596062,13453
175,arunachal pradesh,lower dibang valley ,2019,2,13737167.7479776,5819
176,arunachal pradesh,lower subansiri ,2019,2,14746949.652010633,5579
177,arunachal pradesh,longding ,2019,2,23464027.892812617,6744
178,arunachal pradesh,west siang ,2019,2,24549832.977181494,8041
179,arunachal pradesh,kamle ,2019,2,1136776.6962042823,414
180,arunachal pradesh,upper siang ,2019,2,3993676.3296563537,1079
181,arunachal pradesh,ap ,2019,2,18633793.43372325,6868
182,arunachal pradesh,papum pare ,2019,2,246640891.34861866,86433
183,arunachal pradesh,kurung kumey ,2019,2,4036511.9338615797,1427
184,arunachal pradesh,anjaw ,2019,2,5220589.920801567,2473
185,arunachal pradesh,ang ,2019,2,5373179.351887872,1654
186,arunachal pradesh,lower siang ,2019,2,7075961.239041175,3791
187,arunachal pradesh,kra daadi ,2019,2,4315353.218765283,1447
188,arunachal pradesh,hanglang ,2019,2,48891048.26477764,18631
189,arunachal pradesh,pakke kessang ,2019,2,1750138.0587616218,687
190,arunachal pradesh,bang valley ,2019,2,214966.6162180208,98
191,arunachal pradesh,west kameng ,2019,2,122521180.75595039,37430
192,arunachal pradesh,hi yomi ,2019,2,65209.39364354455,13
193,arunachal pradesh,east siang ,2019,2,46549881.23941852,16494
194,arunachal pradesh,upper subansiri ,2019,2,18395806.566284098,4827
195,arunachal pradesh,east kameng ,2019,2,8996397.735290494,2309
196,arunachal pradesh,lohit ,2019,2,48893746.831022196,18693
197,arunachal pradesh,lepa rada ,2019,2,5045595.906781289,2108
198,arunachal pradesh,awang ,2019,2,55915834.5871187,15960
199,arunachal pradesh,namsai ,2019,2,22491356.65721929,9637
200,arunachal pradesh,lower dibang valley ,2023,4,780822119.0,456242
